Medpc Press Ind,Python Down Index,Python Up Index
0,3758,4064
1,6453,6867
2,6964,7270
3,16235,17616
4,19260,19812
5,45725,45961
6,45954,46321
7,46316,49226
8,51001,51693
9,51688,52099
10,66812,68534
11,68767,69292
12,88927,90300
13,100264,100485
14,100479,100928
15,113504,114123
16,115682,116070
17,116280,116738
18,116731,117270
19,117881,118329
20,125957,126423
21,126501,126936
22,126930,127464
23,127458,127777
24,127771,128152
25,160282,160947
26,160941,161476
27,161470,161853
28,161848,162164
29,162157,162531
30,167640,167975
31,167968,168408
32,168400,170509
33,174166,174644
34,174638,175750
35,175742,176139
36,178130,180352
37,180345,180815
38,180900,181343
39,182156,183577
40,186187,186541
41,186534,187645
42,187639,189621
43,189615,190325
44,190319,191084
45,False negative,False negative
46,191078,192352
47,192706,194199
48,False negative,False negative
49,194406,194927
50,199352,200195
51,200189,200754
52,200748,201494
53,201488,202072
54,202065,202641
55,226458,226815
56,237782,238663
57,238754,239240
58,241231,242093
59,242086,243271
60,243266,243870
61,243865,244281
62,244274,244947
63,257049,258784
64,260059,260285
65,260279,260930
66,260923,261458
67,261451,261827
68,261821,263098
69,263603,264007
70,279008,279347
71,279340,279954
72,280036,280469
73,281714,282848
74,317226,318163
75,318480,318835
76,318828,320173
77,320167,320648
78,320642,321202
79,323175,323583
80,332185,334049
81,334042,335754
82,335747,336651
83,336829,Missed
84,Missed,337720
85,350213,351954
86,354806,355213
87,360161,360552
88,361118,362710
89,362703,363108
90,363102,363587
91,363580,363874
92,364687,366054
93,366048,366841
94,366834,367321
95,373199,373599
96,418764,419143
97,422966,424761
98,425346,425956
99,425950,427781
100,428856,429545
101,429539,429898
102,430072,430599
103,430593,431500
104,434046,434719
105,434713,436339
106,436849,437683
107,437676,438117
108,438109,439297
109,441544,442073
110,559531,560653
111,565024,565777
112,580171,581652
113,601571,601973
114,602063,602946
115,603502,604002
116,604721,605175
117,605169,605830
118,605822,606133
119,607161,607551
120,623182,623563
121,635190,635675
122,635929,636353
123,636682,637095
124,637090,637765
125,637758,638858
126,638852,639693
127,639686,640771
128,642020,642807
129,642800,643174
130,661905,662716
131,662798,663151
132,Medpc mistake,Medpc mistake
133,665845,667228
134,668537,668930
135,670234,671320
136,671917,672445
137,672438,673458
138,673451,675338
139,675378,675735
140,704745,705433
141,717840,719047
142,719113,720253
143,734899,735413
144,736818,737350
145,741439,741849
146,742957,743266
147,743356,743709
148,744193,745707
149,747458,748130
150,768218,769018
151,770819,772606
152,772600,773163
153,895400,896237
154,903950,904489
155,910678,911856
156,912171*,913873
157,915848,917445
158,917518,918350
159,918344,918804
160,931581,931971
161,931968,932336
162,936467,937294
163,937286,937775
164,937769,938411
165,939747,940518
166,958609,959081
167,1000997,1001337
168,1019350,1020556
169,1021222,1022088
170,1022205,1022971
171,1022967,1023468
172,1023583,1025244
173,1030873,1032281
174,1033632,1036073
175,1036067,1036715
176,1036709,1036948
177,1036941,1037491
178,1037485,1037875
179,1037869,1038248
180,1079586,1080521
181,1092033,1092881
182,1093843,1096118
183,1096112,1096517
184,1096608,1096942
185,1096936,1097482
186,1097564,1098410
187,1098404,1098792
188,1098785,1099136
189,1099130,1099546
190,1109072,1109590
191,1109584,1110160
192,1127387,1127786
193,1127781,1128161
194,1211862,1212943
195,1215051,1215250
196,1215244,1215687
197,1215805,1216215
198,1216840,1217812
199,1219427,1219950
200,1229182,1230328
201,1238899,1240854
202,1240880,1242101
203,1243756,1244188
204,1244183,1244803
205,1244798,1245107
206,1245673,1245917
207,1245911,1246423
208,1246417,1247757
209,1248011,1248482
210,1278946,1279429
211,1290085,1290615
212,1290862,1292041
213,1292034,1292410
214,1292611,1293013
215,1293007,1293483
216,1293476,1293935
217,1293931,1294350
218,1298517,1299147
219,1299713,1300205
220,1307735,1308965
221,1308959,1309834
222,1309828,1310944
223,1310937,1311403
224,1311396,1311815
225,False negative,False negative
226,1322552,1322750
227,1322855,1323594
228,1323669,1324306
229,1324964,1325407
230,1332854,1333540
231,1333773,1334084
232,1334077,1334986
233,1334980,1336801
234,1336921,1337581
235,False negative,False negative
236,1337692,1339807
237,1339800,1340158
238,1340365,1340885
239,1340878,1341142
240,1341136,1341713
241,1341707,1342161
242,1342344,1343795
243,1362049,1362771
244,1368160,1368920
245,1368914,1369294
246,1369668,1370024
247,1370019,1370535
248,1370619,1371449
249,1372085,1372470
250,1378511,1379282
251,1379430,1379928
252,1381231,1381953
253,1382321,1383573
254,1383567,1383808
255,1390650,1392630
256,1396244,1397291
257,1401184,1402577
258,1403731,1404386
259,1404382,1405096
260,1405090,1405665
261,1405659,1406371
262,1407076,1407831
263,1407825,1409110
264,1409479,1409986
265,1488079,1488392
266,1501894,1502386
267,1508078,1508436
268,1509496,1511508
One press counted as two,1511502,One press counted as two
One press counted as two,1510465,1510471
269,1511502,1512305
270,1512866,1513499
271,1513580,1514041
272,1514605,1516447
273,1518258,1519812
274,1519805,1520145
275,1520804,1521703
276,1521698,1522827
277,1523098,Missed
278,Missed,1524529
279,1528746,1529483
280,Medpc mistake,Medpc mistake
281,1529478,1530243
282,1530467,1531109
283,1531416,1532031
284,1532306,1532682
285,1543907,1544638
286,1546501,1546923
287,1549236,1549764
288,1554599,1555828
289,1598652,1599223
290,1600620,1601577
291,1601653,1602128
292,1606144,1607021
293,1610288,1611640
294,1614366,1614777
295,1628333,1628827
296,1628927,1629484
297,1660838,1661343
298,1721532,1721795
299,1724220,1724779
300,1725966,1726691
301,1728436,1728874
302,1728873,1729402
303,1729396,1729725
304,1729719,1730110
305,1742364,1744034
306,1744906,1745537
307,1746087,1746738
308,1747577,1748750
309,1749884,1750353
310,1882929,1883624
311,1900530,1900940
312,1901471,1903073
313,1903066,1904020
314,1904014,1905138
315,1906666,1907480
316,1907476,Missed
317,Missed,1908867
318,1908859,1909616
319,1909610,1909986
320,1946984,1947307
321,1958662,1959305
322,1960196,1960733
323,1961261,1961757
324,1961751,1962186
325,1962724,1963152
326,1963805,1964514
327,1964975,1966256
328,1966365,1966718
329,1967244,1967806
330,1971120,1971703
331,1973989,1974492
332,1975501,1976076*
333,2004025,2004539
334,2007928,2008430
335,2008801,2009145
336,2125515,2125788
337,2137721,2138577
338,2138570,2139900
339,2140250,2140636
340,2140632,2141277
341,2141847,2142496
342,2142490,2142841
343,2142835,2143472
344,2143862,2144242
345,2171831,2172297
346,2210544,2211013
347,2213514,2214446
348,2214442,2215145
349,2215138,2215869
350,False negative,False negative
351,2215862,2216874
352,2217676,2218802
353,2218795,2219139
354,2219618,2220127
355,2235035,2235940
356,2325253,2326054
357,2338557,2340009
358,2344904,2345068
359,2345061,2346527
360,2346902,2347646
361,2347644,2348367
362,2348426,2350084
363,2350078,2350684
364,2350679,2350837
365,2367143,2367790
366,2371123,2372521
367,2374666,2375221
368,2375429,2375970
369,2375962,2376944
False positive,2376938,2378541
370,2378534,2378903
371,2379756,2381296
372,2382625,2383283
373,2383292,2383567
374,2383560,2383710
375,2422115,2422604
376,2424394,2424951
377,2426360,2427838
378,2427831,2428710
379,2428703,2429205
380,2476048,2476393
381,2482156,2482744
382,2522699,2523194
383,2582662,2583418
384,2584541,2584710
385,2584703,2585407
386,2585400,2586081
387,2586075,2587298
388,2632004,2632282
389,2634182,2634732
390,2635039,2635434
391,2635743,2636154
392,2636150,2636637
393,2637108,2638824
394,2640872,2641363
395,2649454,2650045
396,2650115,2650888
397,Missed,Missed
398,2651653,2653079
399,2653075,2653555
400,2785995,2786396
401,2787467,2787875
402,2788514,2788749
403,2788744,2789118
404,2790368,2790847
405,2851104,2851549
406,2853690,2854445
407,2855032,2855495
408,2855560,2856399
409,2857038,2857394
410,2889930,2890293
411,2924287,2924751
412,2929095,2929867
413,2930810,2931942
414,2931937,2932307
415,2933455,2934560
416,2934554,2935842
417,2935836,2936694
418,2937163,2938643
419,2938721,2939126
420,2947457,2948233
421,2987185,2987596
422,2987690,2988077
423,2991175,2992211
424,2992797,2993754
425,2994140,2994914
426,2995005,2995361
427,2995569,2996520
428,2996801,2997528
429,2997932,2998341
430,3002196,3002556
431,3003555,3003745
432,3003740,3005084
