Medpc Press Ind,Python Down Index,Python Up Index
158,554609,555616
159,555779,556155
160,556149,556812
161,556806,557120
162,565589,565788
163,565782,566606
164,567434,567985
165,567978,568452
166,568446,568736
167,568729,569104
168,569486,569845
169,569838,570312
170,572304,572893
171,574716,575176
172,575170,575619
173,575613,575992
174,575985,576285
175,578223,578916
176,579831,580872
177,581071,581586
178,581580,581934
179,581928,582792
180,582786,583240
181,583234,583582
182,588206,588646
183,599074,599373
184,611392,612594
185,612587,613067
186,613060,613504
187,613498,613906
188,614762,615167
189,617027,618029
190,618022,618861
191,618856,619240
192,628494,628976
193,629932,630607
194,630601,630985
195,631706,632176
196,False negative,False negative
197,632170,632546
198,652600,652887
199,652974,653256
200,654129,654577
201,654571,654921
202,660351,660716
203,682671,685125
204,685119,685421
205,685415,686254
206,687474,688869
207,688862,689268
208,689262,689834
209,689933,690307
210,690300,690771
211,690765,691101
212,771503,771998
213,825518,826337
214,828335,828890
215,829483,829751
216,829862,830281
217,830388,830755
218,831023,831386
219,831667,832214
220,832207,832559
221,899258,901620
222,902025,902542
223,902536,903030
224,903136,903815
225,903811,904168
226,904162,904470
227,904463,904956
228,904949,905342
229,905336,905636
230,905630,906267
231,914757,915534
232,921392,921646
233,921640,922106
234,1042305,1042789
235,1043828,1044315
236,1044425,1044767
237,1044761,1045138
238,1045132,1045560
239,1045554,1046045
240,1046040,1046507
241,1054392*,1055197
242,1055797,1056346
243,1056339,1057097
244,1057096,1057488
245,False negative,False negative
246,1057482,Missed
247,Missed,1059314
248,1059825,1060199
249,1060193,1061061
250,1061054,1061396
251,False negative,False negative
252,1075696,1077047
253,1080535,1080982
254,1081224*,1081860
255,1082123,1082519
256,1082823,1082979
257,1082972,1083169
258,1083246,1085211
259,1085205,1085603
260,1085777,1086431
261,1086425,1087011
262,1087005,1087352
263,1087346,1089282
264,1089946,1092230
265,1092461,1092790
266,1092784,1093802
267,1095759,1096491
268,1099457,1100631
269,1100829,1101579
One press counted as two,1101082,1101089
270,1101573,1101847
271,1102572,1103477
272,1121189,1122197
273,1122191,1122487
274,1123834,1124010
275,1124004,1125316
276,1125969,1127009
277,1127006,1127893
278,1127886,1128254
279,1128247,1128571
280,1128564,1128961
281,1136176,1137024
282,1137018,1137281
283,1137275,1138091
284,1138148,1138592
285,1138586,1138925
286,1145773,1146529
287,1146524,1147092*
288,1147193,1147533
289,1147753,1148166
290,1148160,1148494
291,1155510,1157096
292,1157626,1158021
293,1158013,1158428
294,1158962,1159524
295,1159516,1160353
296,1160347,1161308
297,1161302,1161605
False positive,1161598,1161607
298,1161598,1162260
299,1162253,1164422
300,1164417,1165091
301,1165086,1165592
302,1166208,1166700
303,1166694,1167294
304,1167287,1167751
305,1167745,1167965
306,1167960,1168168
307,1172882,1174003
308,1174180,1174486
309,1196826,1197029
310,1197022,1197447
311,1238637,1240728
312,1240806,1242363
313,1242448,1243961
314,1243954,1245957
315,1245952,1247296
316,1247445,1247817
317,1284996,1285269
318,1298987,1299485
319,1299479,1299812
320,1306792,1307265
321,1307871,1308271
322,1308265,1308778
323,1309756,1309947
324,1310269,1310668
325,1310792,1311111
326,1340441,1340989
327,1340982,1341411
328,1341597,1342297
329,1342669,1343352
330,1344136,1344540
331,1358282,1359881
332,1363099,1363507
333,1364108,1364895
334,1364888,1365467
335,1365460,1366121
336,1366115,1366695
337,1366689,1367180
338,1367174,1368448
339,1368441,1369071
340,1369065,1369590
341,1378058,1379477
342,1379471,1380202
False positive,1380196,1380731
343,1380725,1381156
344,1381150,1381718
345,1381712,1382092
346,1392067,1392342
347,1392336,1392872
348,1393071,1393869
349,1393863,1394553
False positive,1394547,1394991
350,1394984,1395321
351,1400793,1402203
352,1405156,1406714
353,1406800,1407129
354,1407277*,1407527
355,1407520,1408108
356,1408892,1409692
357,1409686,1410165
358,1410362,1411056
359,1411050,1411759
360,1411752,1412321
361,1417333,1418023
362,1445501,1445912
363,1448141,1448767
364,1448761,1449433
365,1449427,1450177
366,1450249,1450531
367,1450524,1451337
368,1451330,1451708
369,1451702,1452284
370,1452375,1452772
371,1493026,1494098
372,1561045,1561272
373,1561265,1561406
374,1561399,1561873
375,1561961,1562369
376,1562428,1564340
377,1581763,1583695
378,1586295,1586675
379,1587297,1587486
380,1587671,1588106
381,1588393,1588682
382,1588675,1588983
383,1588977,1589455
384,1589766,1590484
385,1590557,1591221
386,1602397,1603252
387,1617382,1617553
388,1617546,1617828
389,1617931,1618582
390,1618911,1619404
391,1650053,1650404
392,1651428,1651622
393,1651615,1652188
394,1652182,1652507
395,1652622,1653282
396,False negative,False negative
397,1660411,1660999
398,1661127,1661601
399,1661703,1662562
400,1662555,1662983
401,False negative,False negative
402,1806093,1806538
403,1830879,1831288*
404,1831804,1832100
405,1838752,1839284
406,1849073,1850643
407,1851409,1851785
408,1851780,1852015
409,1852108,1852395
410,1855331,1856126
411,1857294,1857708
412,1857702,1858110
413,1858103,1858811
414,1858804,1859036
415,1859030,1859448
416,1870660,1871291
417,1871285,1871644
418,1872152,1872754
419,1872747,1873184
420,1873177,1873538
421,1891013,1891447
422,1893116,1893420
423,1893841,1894147
424,1894140,1894714
425,1894708,1895075
426,1895069,1896787
427,1897103,1898091
428,1898084,1898522
429,1898669,1899259
430,1899356,1900400
431,1915654,1916269
432,1919973,1920451
433,1951631,1952106
434,1952452,1952860
435,1953271,1953672
436,1953665,1954271
437,1954265,1954620
438,1954613,1955227
439,1956741,1957355
440,1957349,1957748
441,1957742,1958284
442,1958277,1958784
443,1958778,1959148
444,1959141,1959619
445,1959895,1960300
446,1970209,1970800
447,1972224,1974154
448,1974468,1975279
449,1975272,1975756
450,1975749,1976110
451,1976104,1976491
