Medpc Press Ind,Python Down Index,Python Up Index
0,16966,18086
1,18363,18827
2,18820,21707
3,22504,23880
4,30905,31835
5,31880,32161
6,37036,37254
7,65233,65552
8,65640,66443
9,66436,67155
10,67245,67634
11,95829,96154
12,137327,137552
13,137546,137714
14,137707,138980
15,139155,139665
16,146262,146864
17,148309,148534
18,148527,148668
19,148662,149022
20,149015,149507
21,155731,156025
22,156019,156393
23,156387,156960
24,156954,157590
25,157583,158220
26,163565,164055
27,164048,164205
28,False negative,False negative
29,164297,164891
30,175376,175779
31,184203,184379
32,184372,184818
33,184812,185417
34,185412,185811
35,185804,186209
36,191664,191864
37,191857,192731
38,195577,195728
39,195722,195980
40,196240,196640
41,197544,199113
42,199108,199769
43,199763,200121
44,202610,203304
45,203297,204228
46,204290,204802
47,204882,205246
48,208150,208609
49,210960,211631
50,246193,246689
51,259873,260069
52,260153,260692
53,261678,262542
54,262535,264320
55,264392,264952
56,269355,270071
False positive,270066,270661
57,270770,270972
58,270965,271367
59,271361,271870
60,271864,272406
61,278518,279418
62,310520,311416
63,311409,311564
64,311558,312002
65,312227,312791
66,313505,313821
67,315061,315297
68,315291,315497
69,315491,316216
70,316285,316689
71,322251,322914
72,324225,325056
73,325149,325895
74,336093,336342
75,336336,336827
76,362920,363281
77,363678,364706
78,364700,365003
79,365092,365549
80,365543,365860
81,372000,373052
82,False negative,False negative
83,373603,374143
84,374136,374715
85,374708,375036
86,379702,380660
87,380653,381021
88,381125,381780
89,382265,383042
90,383035,383407
91,390074,391702
92,391696,392186
93,392179,392460
94,392453,392816
95,392810,393333
96,393327,393743
97,393737,394103
98,394096,395054
99,395047,395948
100,395941,396294
101,401912,402080
102,402073,402935
103,403417,403767
104,403760,404106
105,406517,406932
106,406924,408289
107,408283,408465
108,408461,408725
109,408719,409504
110,409498,409861
111,414006,415036
112,415366,415775
113,415913,416617
114,416704,417084
115,417078,417417
116,424025,424663
117,424787,425359
118,425352,425749
119,425793,426119
120,426112,426484
121,454139,454852
122,479567,480647
123,480937,481608
124,481701,481996
125,490279,490853
126,500611,501444
127,502747,503257
128,503250,503588
129,503583,504081
130,504075,504450
131,504444,505333
132,505436,505997
133,505990,506242
134,506236,506371
135,506366,506517
136,506511,506829
137,511721,512464
138,512594,512780
139,512860,513316
140,513310,514124
141,514117,514460
142,522300,522527
143,522846,523643
144,523636,524292
145,525305,525715
146,525915,526360
147,526353,526703
148,526807,527617
149,527611,528202
150,528784,529988
151,529982,530309
152,549409,550165
153,550159,550662
154,550747,551570
155,553026,553273
156,553267,553943
157,553937,554543
