Medpc Press Ind,Python Down Index,Python Up Index
334,2764059,2764805
335,2767946,2768426
336,2768765,2769421
337,2769414,2770147
338,2770141,2770462
339,2770660,2771093
340,2774266,2774716
341,2774709,2774939
342,2774932,2775145
343,2776432,2776935
344,2778474,2779215
345,2779720,2781341
346,2781914,2782794
347,2785696,2786286
348,2786442,2786753
349,2786747,2787699
350,2788346,2789402
351,2792912,2793610
352,2794965,2795508
353,2795501,2796424
354,2886143,2886513
355,2896353,2896760
356,2897373,2897935
357,2899303,2899652
358,2899647,2900461
359,2902295,2902824
360,2906559,2907341
361,2916492,2916763
362,2989195,2989589
